,Unnamed: 0,recordId,callKey,callDateTime,priority,district,description,callNumber,incidentLocation,location,Neighborhood,PoliceDistrict,PolicePost,CouncilDistrict,SheriffDistricts,Community_Statistical_Areas,Census_Tracts,ZIPCode,ESRI_OID,geo,point,latitude,longitude,altitude
12,2469,11589325,5C01020A638EFA5E,2022/12/06 03:16:00+00,High,ND,AUTO ACC/INJURY,P223400817,SB I 100 S @ MM 7,SB I 100 S @ MM 7 BALTIMORE MD,Jones Falls Area,Northern,531.0,7.0,D2,Medfield/Hampden/Woodberry/Remington,Census Tract 1308.04,21211.0,335039,,"(None, None, None)",,,
13,2470,11589726,5C01020A638F1276,2022/12/06 04:59:00+00,High,SE,COMMON ASSAULT,P223401106,300 FALLSWAY,300 FALLSWAY BALTIMORE MD,Jonestown,Southeastern,211.0,12.0,D7,Oldtown/Middle East,Census Tract 2805,21202.0,335043,"300, Fallsway, Jonestown, Baltimore, Maryland, 21202, United States","(39.292204, -76.60769, 0.0)",39.292204,-76.60769,0.0
14,2471,11589883,5C01020A638F1ECC,2022/12/06 05:51:00+00,High,SE,AUTO ACC/INJURY,P223401231,2200 BROENING HY,2200 BROENING HY BALTIMORE MD,Holabird Industrial Park,Southeastern,243.0,1.0,D7,Southeastern,Census Tract 2606.05,21224.0,335049,,"(None, None, None)",,,
15,2472,11592156,5C01020A638FB62B,2022/12/06 16:37:00+00,High,SE,COMMON ASSAULT,P223403538,3500 BOSTON ST,3500 BOSTON ST BALTIMORE MD,Canton,Southeastern,232.0,1.0,D6,Southeastern,Census Tract 2606.05,21224.0,335091,"Floyd's 99 Barbershop, 3500, Boston Street, Baltimore, Maryland, 21224, United States","(39.2778016, -76.5662614, 0.0)",39.2778016,-76.5662614,0.0
16,2473,11592126,5C01020A638FBEB0,2022/12/06 17:14:00+00,High,SE,AUTO ACC/INJURY,P223403722,N EAST AV/E FAYETTE ST,N EAST AV and E FAYETTE ST BALTIMORE MD,Patterson Park Neighborhood,Southeastern,222.0,1.0,D6,Patterson Park North & East,Census Tract 2610,21224.0,335093,,"(None, None, None)",,,
17,2474,11593148,5C01020A638FF7BA,2022/12/06 21:17:00+00,High,SE,AUTO ACC/INJURY,P223404827,2400 JEFFERSON ST,2400 JEFFERSON ST BALTIMORE MD,McElderry Park,Southeastern,221.0,13.0,D5,Madison/East End,Census Tract 702,21205.0,335109,"2400, Jefferson Street, McElderry Park, Baltimore, Maryland, 21205, United States","(39.296813900000004, -76.5834481, 0.0)",39.2968139,-76.5834481,0.0
18,2475,11593809,5C01020A63901998,2022/12/06 23:42:00+00,High,NE,COMMON ASSAULT,P223405282,4000 BELWOOD AV,4000 BELWOOD AV BALTIMORE MD,Waltherson,Northeastern,426.0,2.0,D4,Lauraville,Census Tract 2701.02,21206.0,335113,"4000, Belwood Avenue, Waltherson, Baltimore, Maryland, 21206, United States","(39.337756, -76.555139, 0.0)",39.337756,-76.555139,0.0
19,2476,11594268,5C01020A63903522,2022/12/07 01:39:00+00,High,WD,AGGRAV ASSAULT,P223410384,2300 MOSHER ST,2300 MOSHER ST BALTIMORE MD,Bridgeview/Greenlawn,Western,723.0,9.0,D9,Greater Rosemont,Census Tract 1605,21216.0,335118,"2300, Mosher Street, Bridgeview/Greenlawn, Baltimore, Maryland, 21216, United States","(39.29978415, -76.65401399597133, 0.0)",39.29978415,-76.65401399597133,0.0
20,2477,11594173,5C01020A63903ED9,2022/12/07 02:20:00+00,High,SD,OVERDOSE,P223410521,3900 S HANOVER ST,3900 S HANOVER ST BALTIMORE MD,Brooklyn,Southern,913.0,10.0,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.01,21225.0,335120,"3900, South Hanover Street, Brooklyn, Baltimore, Anne Arundel County, Maryland, 21225, United States","(39.23549295, -76.61135831721381, 0.0)",39.23549295,-76.61135831721381,0.0
21,2478,11594370,5C01020A63904EC0,2022/12/07 03:28:00+00,High,NW,BURGLARY,P223410743,5500 KENNISON AV,5500 KENNISON AV BALTIMORE MD,Grove Park,Northwestern,623.0,5.0,D1,Howard Park/West Arlington,Census Tract 2801.02,21215.0,335124,"5500, Kennison Avenue, Grove Park, Baltimore, Maryland, 21215, United States","(39.34267643991606, -76.69789100349743, 0.0)",39.34267643991606,-76.69789100349743,0.0
22,2479,11594869,5C01020A639071C0,2022/12/07 05:58:00+00,High,NE,ASSIST DJS,P223411088,3300 RAMONA AV,3300 RAMONA AV BALTIMORE MD,Belair-Edison,Northeastern,432.0,13.0,D5,Belair-Edison,Census Tract 2603.01,21213.0,335131,"3300, Ramona Avenue, Belair-Edison, Baltimore, Maryland, 21213, United States","(39.32372255, -76.56407579152653, 0.0)",39.32372255,-76.56407579152653,0.0
23,2480,11594928,5C01020A63908073,2022/12/07 07:00:00+00,High,SD,AUTO ACC/INJURY,P223411158,900 MAYADON CT,900 MAYADON CT BALTIMORE MD,Brooklyn,Southern,913.0,10.0,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.02,21225.0,335133,"900, Mayadon Court, Brooklyn, Baltimore, Maryland, 21225, United States","(39.227467, -76.60017, 0.0)",39.227467,-76.60017,0.0
24,2481,11595580,5C01020A6390BE31,2022/12/07 11:24:00+00,High,SE,AUTO ACC/INJURY,P223412032,4900 EASTERN AV,4900 EASTERN AV BALTIMORE MD,Hopkins Bayview,Southeastern,241.0,1.0,D6,Orangeville/East Highlandtown,Census Tract 2605.01,21224.0,335150,"4900, Eastern Avenue, Greektown, Baltimore, Maryland, 21224, United States","(39.287219, -76.554829, 0.0)",39.287219,-76.554829,0.0
25,2482,11595888,5C01020A6390C1C7,2022/12/07 11:39:00+00,High,SD,AUTO ACC/INJURY,P223412093,S HOWARD ST/W CONWAY ST,S HOWARD ST and W CONWAY ST BALTIMORE MD,Stadium Area,Southern,941.0,11.0,D7,Inner Harbor/Federal Hill,Census Tract 2201,21201.0,335154,,"(None, None, None)",,,
26,2483,11596321,5C01020A6390E241,2022/12/07 13:58:00+00,High,NE,COMMON ASSAULT,P223412648,3000 NORTHWAY DR,3000 NORTHWAY DR BALTIMORE MD,North Harford Road,Northeastern,424.0,3.0,D4,Harford/Echodale,Census Tract 2705.01,21234.0,335169,"3000, Northway Drive, North Harford Road, Baltimore, Maryland, 21234, United States","(39.364103, -76.551112, 0.0)",39.364103,-76.551112,0.0
0,2484,11596288,5C01020A6390E42B,2022/12/07 14:06:00+00,High,SE,COMMON ASSAULT,P223412674,400 IMLA ST,400 IMLA ST BALTIMORE MD,Bayview,Southeastern,241.0,1.0,D6,Orangeville/East Highlandtown,Census Tract 2605.01,21224.0,335170,"400, Imla Street, Bayview, Baltimore, Maryland, 21224, United States","(39.2890264, -76.53935501575447, 0.0)",39.2890264,-76.53935501575447,0.0
1,2485,11596549,5C01020A6390ED97,2022/12/07 14:46:00+00,High,ED,BURGLARY,P223412800,1100 WEBB CT,1100 WEBB CT BALTIMORE MD,Oldtown,Eastern,312.0,12.0,D5,Oldtown/Middle East,Census Tract 1002,21202.0,335174,"1100, Webb Court, Old Town, Baltimore, Maryland, 21201, United States","(39.300851, -76.6026959, 0.0)",39.300851,-76.6026959,0.0
2,2486,11596499,5C01020A6390F583,2022/12/07 15:20:00+00,High,SW,BURGLARY,P223412907,4300 ELDONE RD,4300 ELDONE RD BALTIMORE MD,Yale Heights,Southwestern,833.0,8.0,D10,Allendale/Irvington/S. Hilton,Census Tract 2501.02,21229.0,335177,"Eldone Road, Yale Heights, Baltimore, Maryland, 21229, United States","(39.2766419, -76.6897185, 0.0)",39.2766419,-76.6897185,0.0
3,2487,11596959,5C01020A639106DB,2022/12/07 16:34:00+00,High,SW,AUTO ACC/INJURY,P223413231,N CULVER ST/W CATON AV,N CULVER ST and W CATON AV BALTIMORE MD,Saint Josephs,Southwestern,842.0,8.0,D10,Allendale/Irvington/S. Hilton,Census Tract 2007.02,21229.0,335184,,"(None, None, None)",,,
4,2488,11597220,5C01020A63911C1C,2022/12/07 18:05:00+00,High,SD,AGGRAV ASSAULT,P223413659,1000 SHELLBANKS RD,1000 SHELLBANKS RD BALTIMORE MD,Cherry Hill,Southern,922.0,10.0,D7,Cherry Hill,Census Tract 2502.04,21225.0,335192,"1000, Shellbanks Road, Cherry Hill, Brooklyn Park, Maryland, 21225, United States","(39.2495739, -76.6295182, 0.0)",39.2495739,-76.6295182,0.0
5,2489,11597255,5C01020A639125B5,2022/12/07 18:45:00+00,High,NE,ROBBERY ARMED,P223413826,4100 RAYMONN AV,4100 RAYMONN AV BALTIMORE MD,Belair-Edison,Northeastern,432.0,13.0,D6,Belair-Edison,Census Tract 2603.02,21213.0,335196,"4100, Raymonn Avenue, Belair-Edison, Baltimore, Maryland, 21213, United States","(39.3172294, -76.55775238415966, 0.0)",39.3172294,-76.55775238415966,0.0
6,2490,11597705,5C01020A6391358A,2022/12/07 19:53:00+00,High,SW,BY THREAT,P223414127,3600 EDMONDSON AV,3600 EDMONDSON AV BALTIMORE MD,Edgewood,Southwestern,844.0,8.0,D10,Edmondson Village,Census Tract 1608.02,21229.0,335199,"3600, Edmondson Avenue, Edgewood, Baltimore, Maryland, 21229, United States","(39.2942913, -76.67751864191494, 0.0)",39.2942913,-76.67751864191494,0.0
7,2491,11598701,5C01020A63916A88,2022/12/07 23:39:00+00,High,SE,COMMON ASSAULT,P223414918,1400 E FAYETTE ST,1400 E FAYETTE ST BALTIMORE MD,Washington Hill,Southeastern,212.0,12.0,D7,Harbor East/Little Italy,Census Tract 301,21231.0,335220,"1400, East Fayette Street, Dunbar-Broadway, Baltimore, Maryland, 21231, United States","(39.29301973333334, -76.59834288888888, 0.0)",39.29301973333334,-76.59834288888888,0.0
8,2492,11598517,5C01020A63916C38,2022/12/07 23:46:00+00,High,SD,AUTO ACC/INJURY,P223414940,800 KEY HY,800 KEY HY BALTIMORE MD,Federal Hill,Southern,942.0,11.0,D7,Inner Harbor/Federal Hill,Census Tract 2201,21230.0,335221,,"(None, None, None)",,,
9,2493,11598772,5C01020A63917718,2022/12/08 00:33:00+00,High,CD,ROBBERY ARMED,P223420171,200 N CHARLES ST,200 N CHARLES ST BALTIMORE MD,Downtown,Central,111.0,11.0,D7,Downtown/Seton Hill,Census Tract 401,21201.0,335228,"200, North Charles Street, Chinatown, Downtown, Baltimore, Maryland, 21201, United States","(39.2912029, -76.6153804, 0.0)",39.2912029,-76.6153804,0.0
10,2494,11599035,5C01020A63918847,2022/12/08 01:46:00+00,High,SE,AGGRAV ASSAULT,P223420472,200 S HAVEN ST,200 S HAVEN ST BALTIMORE MD,Highlandtown,Southeastern,231.0,2.0,D6,Highlandtown,Census Tract 2608,21224.0,335230,"200, South Haven Street, Highlandtown, Baltimore, Maryland, 21224, United States","(39.290287649999996, -76.56291471001494, 0.0)",39.29028765,-76.56291471001494,0.0
11,2495,11599417,5C01020A6391ABB1,2022/12/08 04:17:00+00,High,ND,OVERDOSE,P223420951,5200 YORK RD,5200 YORK RD BALTIMORE MD,Woodbourne-McCabe,Northern,524.0,4.0,D2,Greater Govans,Census Tract 2710.02,21212.0,335525,"CVS Pharmacy, 5200, York Road, York-Homeland, Baltimore, Maryland, 21212, United States","(39.35217515, -76.61052430000001, 0.0)",39.35217515,-76.61052430000001,0.0
12,2496,11599722,5C01020A6391CA28,2022/12/08 06:27:00+00,High,ND,AUTO ACC/INJURY,P223421254,DRUID HILL PARK,DRUID HILL PARK BALTIMORE MD,Druid Hill Park,Northern,531.0,7.0,D2,Penn North/Reservoir Hill,Census Tract 1304,21217.0,335533,"Druid Hill Park, Park Heights, Baltimore, Maryland, United States","(39.3234566, -76.64451851562606, 0.0)",39.3234566,-76.64451851562606,0.0
13,2497,11599875,5C01020A6391D4E5,2022/12/08 07:13:00+00,High,WD,ROBBERY ARMED,P223421314,1800 BLK W LAFAYETTE AV,1800 BLK W LAFAYETTE AV BALTIMORE MD,Sandtown-Winchester,Western,722.0,9.0,D8,Sandtown-Winchester/Harlem Park,Census Tract 1603,21217.0,335535,,"(None, None, None)",,,
14,2498,11600163,5C01020A6391E771,2022/12/08 08:32:00+00,High,SE,ROBBERY ARMED,P223421610,200 N HIGHLAND AV,200 N HIGHLAND AV BALTIMORE MD,Ellwood Park/Monument,Southeastern,224.0,1.0,D6,Patterson Park North & East,Census Tract 2610,21224.0,335540,"200 North Highland, 200, North Highland Avenue, Ellwood Park/Monument, Baltimore, Maryland, 21224, United States","(39.29524955, -76.56998696783106, 0.0)",39.29524955,-76.56998696783106,0.0
15,2499,11600226,5C01020A6391EC19,2022/12/08 08:52:00+00,High,SW,AUTO ACC/INJURY,P223421667,3700 FREDERICK AV,3700 FREDERICK AV BALTIMORE MD,Irvington,Southwestern,842.0,8.0,D10,Allendale/Irvington/S. Hilton,Census Tract 2008,21229.0,335542,"3700, Frederick Avenue, Irvington, Baltimore, Maryland, 21229, United States","(39.281892, -76.677855, 0.0)",39.281892,-76.677855,0.0
16,2500,11603455,5C01020A6392AC80,2022/12/08 22:33:00+00,High,CD,COMMON ASSAULT,P223425114,800 BROOKS LN,800 BROOKS LN BALTIMORE MD,Reservoir Hill,Central,133.0,7.0,D2,Penn North/Reservoir Hill,Census Tract 1301,21217.0,335581,"800, Brooks Lane, Reservoir Hill, Baltimore, Maryland, 21217, United States","(39.316092, -76.634083, 0.0)",39.316092,-76.634083,0.0
17,2501,11603767,5C01020A6392BC7E,2022/12/08 23:41:00+00,High,SD,ROBBERY ARMED,P223425314,S CHARLES ST/E CHURCHILL ST,S CHARLES ST and E CHURCHILL ST BALTIMORE MD,Federal Hill,Southern,942.0,11.0,D7,Inner Harbor/Federal Hill,Census Tract 2201,21230.0,335589,,"(None, None, None)",,,
18,2502,11603656,5C01020A6392C3E3,2022/12/09 00:13:00+00,High,SW,ARMED PERSON,P223430072,3100 W NORTH AV,3100 W NORTH AV BALTIMORE MD,Northwest Community Action,Southwestern,813.0,7.0,D9,Greater Rosemont,Census Tract 1506,21216.0,335594,"New Beginnings Highway Church Of Christ, 3100, West North Avenue, Walbrook, Baltimore, Maryland, 21216, United States","(39.3093017, -76.66952675531957, 0.0)",39.3093017,-76.66952675531957,0.0
19,2503,11604964,5C01020A63931E38,2022/12/09 06:38:00+00,High,ND,BURGLARY,P223431293,500 CASTLE DR,500 CASTLE DR BALTIMORE MD,Lake Walker,Northern,522.0,4.0,D2,Chinquapin Park/Belvedere,Census Tract 2708.04,21212.0,335611,"500, Castle Drive, Lake Walker, Towson, Baltimore County, Maryland, 21212, United States","(39.372237, -76.607477, 0.0)",39.372237,-76.607477,0.0
20,2504,11605599,5C01020A63934FF4,2022/12/09 10:10:00+00,High,NE,COMMON ASSAULT,P223431974,4500 ERDMAN AV,4500 ERDMAN AV BALTIMORE MD,Orangeville Industrial Area,Eastern,333.0,13.0,D6,Claremont/Armistead,Census Tract 2603.03,21213.0,335629,"4500, Erdman Avenue, Orchard Ridge, Baltimore, Maryland, 21213, United States","(39.30995585, -76.56270997153715, 0.0)",39.30995585,-76.56270997153715,0.0
21,2505,11606239,5C01020A63936A7E,2022/12/09 12:03:00+00,High,CD,OVERDOSE,P223432452,ROBERT ST/PENNSYLVANIA AV,ROBERT ST and PENNSYLVANIA AV BALTIMORE MD,Upton,Central,123.0,11.0,D8,Upton/Druid Heights,Census Tract 1403,21217.0,335636,,"(None, None, None)",,,
22,2506,11606302,5C01020A63937545,2022/12/09 12:49:00+00,High,SW,OVERDOSE,P223432640,2500 W FAIRMOUNT AV,2500 W FAIRMOUNT AV BALTIMORE MD,Shipley Hill,Southwestern,842.0,9.0,D8,Southwest Baltimore,Census Tract 2002,21223.0,335640,"2500, West Fairmount Avenue, Shipley Hill, Baltimore, Maryland, 21223, United States","(39.2885029, -76.6566461433211, 0.0)",39.2885029,-76.6566461433211,0.0
23,2507,11606333,5C01020A6393761E,2022/12/09 12:53:00+00,High,WD,OVERDOSE,P223432654,400 N SMALLWOOD ST,400 N SMALLWOOD ST BALTIMORE MD,Midtown-Edmondson,Western,722.0,9.0,D8,Southwest Baltimore,Census Tract 2002,21223.0,335641,"West Baltimore Bus Transfer Center, 400, North Smallwood Street, Midtown-Edmondson, Baltimore, Maryland, 21223, United States","(39.293170599999996, -76.65234754140481, 0.0)",39.2931706,-76.65234754140481,0.0
24,2508,11606363,5C01020A639379C5,2022/12/09 13:09:00+00,High,ED,AUTO ACC/INJURY,P223432731,2000 BLK BARCLAY ST,2000 BLK BARCLAY ST BALTIMORE MD,Barclay,Eastern,341.0,12.0,D2,Greater Charles Village/Barclay,Census Tract 1204,21218.0,335645,,"(None, None, None)",,,
25,2509,11606595,5C01020A63938718,2022/12/09 14:06:00+00,High,WD,COMMON ASSAULT,P223432929,2500 BLK ARUNAH AV,2500 BLK ARUNAH AV BALTIMORE MD,Evergreen Lawn,Western,721.0,9.0,D8,Greater Rosemont,Census Tract 1605,21216.0,335652,,"(None, None, None)",,,
26,2510,11606680,5C01020A6393953B,2022/12/09 15:06:00+00,High,NE,AGGRAV ASSAULT,P223433100,3700 ELMORA AV,3700 ELMORA AV BALTIMORE MD,Belair-Edison,Northeastern,432.0,13.0,D6,Belair-Edison,Census Tract 2603.02,21213.0,335660,"3700, Elmora Avenue, Belair-Edison, Baltimore, Maryland, 21213, United States","(39.31623915, -76.56677364449587, 0.0)",39.31623915,-76.56677364449587,0.0
0,2511,11606843,5C01020A6393A284,2022/12/09 16:03:00+00,High,CD,COMMON ASSAULT,P223433311,400 W MULBERRY ST,400 W MULBERRY ST BALTIMORE MD,Downtown,Central,111.0,11.0,D7,Downtown/Seton Hill,Census Tract 401,21201.0,335667,"400, West Mulberry Street, Allendale, Baltimore, Maryland, 21229, United States","(39.2919665, -76.67565653976511, 0.0)",39.2919665,-76.67565653976511,0.0
1,2512,11607474,5C01020A6393B818,2022/12/09 17:35:00+00,High,WD,OVERDOSE,P223433821,METRO STATION - PENN NORTH,METRO STATION - PENN NORTH BALTIMORE MD,Penn North,Western,733.0,7.0,D2,Penn North/Reservoir Hill,Census Tract 1303,21217.0,335680,,"(None, None, None)",,,
2,2513,11607849,5C01020A6393BF8A,2022/12/09 18:06:00+00,High,SW,COMMON ASSAULT,P223433980,4600 EDMONDSON AV,4600 EDMONDSON AV BALTIMORE MD,Rognel Heights,Southwestern,822.0,8.0,D10,Beechfield/Ten Hills/West Hills,Census Tract 2804.01,21229.0,335685,"Advance Auto Parts, 4600, Edmondson Avenue, Hunting Ridge, Baltimore, Maryland, 21229, United States","(39.2939367, -76.69425360194938, 0.0)",39.2939367,-76.69425360194938,0.0
3,2514,11607557,5C01020A6393C9AE,2022/12/09 18:50:00+00,High,CD,COMMON ASSAULT,P223434180,0 LIGHT ST,0 LIGHT ST BALTIMORE MD,Downtown,Central,111.0,11.0,D7,Downtown/Seton Hill,Census Tract 401,21202.0,335693,"Light Street, Chinatown, Downtown, Baltimore, Maryland, 21202, United States","(39.2884864, -76.6136942, 0.0)",39.2884864,-76.6136942,0.0
4,2515,11608045,5C01020A6393D96B,2022/12/09 19:57:00+00,High,NW,DISCHRG FIREARM,P223434494,NELSON AV/HAYWARD AV,NELSON AV and HAYWARD AV BALTIMORE MD,Arlington,Northwestern,633.0,5.0,D1,Pimlico/Arlington/Hilltop,Census Tract 2718.01,21215.0,335700,,"(None, None, None)",,,
5,2516,11608268,5C01020A6393E23C,2022/12/09 20:34:00+00,High,ND,AUTO ACC/INJURY,P223434637,LOVELY LANE METHODIST CHURCH,LOVELY LANE METHODIST CHURCH BALTIMORE MD,Old Goucher,Northern,514.0,12.0,D2,Greater Charles Village/Barclay,Census Tract 1206,21218.0,335709,,"(None, None, None)",,,
6,2517,11608344,5C01020A6393E3AD,2022/12/09 20:41:00+00,High,SD,BURGLARY,P223434667,3600 ST VICTOR ST,3600 ST VICTOR ST BALTIMORE MD,Brooklyn,Southern,913.0,10.0,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.02,21225.0,335713,"3600, Saint Victor Street, Brooklyn, Baltimore, Maryland, 21225, United States","(39.234061, -76.596922, 0.0)",39.234061,-76.596922,0.0
7,2518,11608259,5C01020A6393E90B,2022/12/09 21:03:00+00,High,SE,COMMON ASSAULT,P223434758,300 S LEHIGH ST,300 S LEHIGH ST BALTIMORE MD,Greektown,Southeastern,242.0,1.0,D6,Orangeville/East Highlandtown,Census Tract 2607,21224.0,335719,"300, South Lehigh Street, Greektown, Baltimore, Maryland, 21224, United States","(39.2888819, -76.5583356, 0.0)",39.2888819,-76.5583356,0.0
8,2519,11608255,5C01020A6393EDC5,2022/12/09 21:24:00+00,High,NW,COMMON ASSAULT,P223434811,4600 PARK HEIGHTS AV,4600 PARK HEIGHTS AV BALTIMORE MD,Central Park Heights,Northwestern,614.0,6.0,D1,Southern Park Heights,Census Tract 2716,21215.0,335722,"4600, Park Heights Avenue, Central Park Heights, Park Heights, Baltimore, Maryland, 21215, United States","(39.342289949999994, -76.66904150550178, 0.0)",39.34228995,-76.66904150550178,0.0
9,2520,11608521,5C01020A6393FA94,2022/12/09 22:18:00+00,High,SW,DISCHRG FIREARM,P223434969,WASHINGTON BL/GRINNALDS AV,WASHINGTON BL and GRINNALDS AV BALTIMORE MD,Morrell Park,Southwestern,831.0,10.0,D7,Morrell Park/Violetville,Census Tract 2503.03,21230.0,335725,,"(None, None, None)",,,
10,2521,11608642,5C01020A639400E5,2022/12/09 22:45:00+00,High,NE,AUTO ACC/INJURY,P223435026,OLD HARFORD RD/E NORTHERN PY,OLD HARFORD RD and E NORTHERN PY BALTIMORE MD,Westfield,Northeastern,424.0,3.0,D4,Harford/Echodale,Census Tract 2707.02,21214.0,335727,,"(None, None, None)",,,
11,2522,11608749,5C01020A6394165C,2022/12/10 00:17:00+00,High,SD,COMMON ASSAULT,P223440063,HORSESHOE CASINO,HORSESHOE CASINO BALTIMORE MD,Carroll - Camden Industrial Area,Southern,941.0,10.0,D7,Washington Village/Pigtown,Census Tract 2101,21230.0,335734,"Horseshoe Casino Baltimore, 1525, Russell Street, South Baltimore, Baltimore, Maryland, 21230, United States","(39.27355795, -76.62744037685637, 0.0)",39.27355795,-76.62744037685637,0.0
12,2523,11608715,5C01020A63941875,2022/12/10 00:26:00+00,High,SD,COMMON ASSAULT,P223440087,E PATAPSCO AV/S HANOVER ST,E PATAPSCO AV and S HANOVER ST BALTIMORE MD,Brooklyn,Southern,912.0,10.0,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2504.01,21225.0,335735,,"(None, None, None)",,,
13,2524,11609510,5C01020A639447D6,2022/12/10 03:48:00+00,High,WD,ARMED PERSON,P223440751,0 N PULASKI ST,0 N PULASKI ST BALTIMORE MD,Penrose/Fayette Street Outreach,Western,714.0,9.0,D8,Southwest Baltimore,Census Tract 2001,21223.0,335747,"North Pulaski Street, Penrose/Fayette Street Outreach, Baltimore, Maryland, 21223, United States","(39.2903827, -76.6501908, 0.0)",39.2903827,-76.6501908,0.0
14,2525,11609789,5C01020A6394649A,2022/12/10 05:51:00+00,High,SD,DISCHRG FIREARM,P223440994,4100 BLK GRACE CT,4100 BLK GRACE CT BALTIMORE MD,Curtis Bay,Southern,911.0,10.0,D7,Brooklyn/Curtis Bay/Hawkins Point,Census Tract 2505,21226.0,335751,,"(None, None, None)",,,
15,2526,11610534,5C01020A6394A907,2022/12/10 10:43:00+00,High,SE,COMMON ASSAULT,P223441747,3700 E LOMBARD ST,3700 E LOMBARD ST BALTIMORE MD,Baltimore Highlands,Southeastern,223.0,2.0,D6,Highlandtown,Census Tract 2608,21224.0,335764,"3700, East Lombard Street, Baltimore Highlands, Baltimore, Maryland, 21224, United States","(39.2915765, -76.56670569574764, 0.0)",39.2915765,-76.56670569574764,0.0
16,2527,11610593,5C01020A6394AB1E,2022/12/10 10:51:00+00,High,NW,ATT SUICIDE-VIOL,P223441788,5400 LYNVIEW AV,5400 LYNVIEW AV BALTIMORE MD,Woodmere,Northwestern,623.0,5.0,D1,Glen-Fallstaff,Census Tract 2801.01,21215.0,335765,"5400, Lynview Avenue, Woodmere, Baltimore, Maryland, 21215, United States","(39.34469605, -76.69002575275223, 0.0)",39.34469605,-76.69002575275223,0.0
17,2528,11611239,5C01020A6394E190,2022/12/10 14:44:00+00,High,NE,OVERDOSE,P223442527,5900 BELAIR RD,5900 BELAIR RD BALTIMORE MD,Cedmont,Northeastern,445.0,2.0,D4,Cedonia/Frankford,Census Tract 2601.01,21206.0,335777,"Royal Motors, 5900, Belair Road, Glenham-Belhar, Baltimore, Maryland, 21206, United States","(39.3457745, -76.54128828700361, 0.0)",39.3457745,-76.54128828700361,0.0
18,2529,11611315,5C01020A6394E6F2,2022/12/10 15:07:00+00,High,WD,AUTO ACC/INJURY,P223442581,1800 GWYNNS FALLS PY,1800 GWYNNS FALLS PY BALTIMORE MD,Mondawmin,Western,731.0,7.0,D9,Greater Mondawmin,Census Tract 1505,21217.0,335780,,"(None, None, None)",,,
19,2530,11612148,5C01020A63950957,2022/12/10 17:33:00+00,High,CD,COMMON ASSAULT,P223443201,1200 ST PAUL ST,1200 ST PAUL ST BALTIMORE MD,Mid-Town Belvedere,Central,141.0,12.0,D8,Midtown,Census Tract 1102,21202.0,335798,"1200, Saint Paul Street, Mid-Town Belvedere, Baltimore, Maryland, 21202, United States","(39.3036084, -76.6147502965091, 0.0)",39.3036084,-76.6147502965091,0.0
20,2531,11611959,5C01020A639514CB,2022/12/10 18:22:00+00,High,SW,COMMON ASSAULT,P223443403,ASHTON ST/S BENTALOU ST,ASHTON ST and S BENTALOU ST BALTIMORE MD,Millhill,Southwestern,841.0,9.0,D8,Southwest Baltimore,Census Tract 2005,21223.0,335801,,"(None, None, None)",,,
21,2532,11611946,5C01020A639515B2,2022/12/10 18:26:00+00,High,CD,AUTO ACC/INJURY,P223443424,N MARTIN LUTHER KING JR BL/N EUTAW ST,N MARTIN LUTHER KING JR BL and N EUTAW ST BALTIMORE MD,Seton Hill,Central,143.0,11.0,D8,Downtown/Seton Hill,Census Tract 1701,21201.0,335802,,"(None, None, None)",,,
22,2533,11612191,5C01020A63951794,2022/12/10 18:34:00+00,High,WD,COMMON ASSAULT,P223443460,N WARWICK AV/W NORTH AV,N WARWICK AV and W NORTH AV BALTIMORE MD,Mondawmin,Western,731.0,7.0,D9,Greater Mondawmin,Census Tract 1504,21216.0,335804,,"(None, None, None)",,,
23,2534,11612222,5C01020A6395196E,2022/12/10 18:42:00+00,High,NE,COMMON ASSAULT,P223443500,5000 LASALLE AV,5000 LASALLE AV BALTIMORE MD,Frankford,Northeastern,444.0,2.0,D4,Cedonia/Frankford,Census Tract 2601.02,21206.0,335806,"5000, Lasalle Avenue, Frankford, Baltimore, Maryland, 21206, United States","(39.33045345, -76.54026954682985, 0.0)",39.33045345,-76.54026954682985,0.0
24,2535,11612786,5C01020A63953C7A,2022/12/10 21:12:00+00,High,ED,DISCHRG FIREARM,P223444041,1100 BLK N CAROLINE ST,1100 BLK N CAROLINE ST BALTIMORE MD,Gay Street,Eastern,313.0,12.0,D5,Greenmount East,Census Tract 808,21205.0,336110,"North Caroline Street, Gay Street, Baltimore, Maryland, 21287, United States","(39.3017339, -76.5978169, 0.0)",39.3017339,-76.5978169,0.0
25,2536,11612813,5C01020A639541BE,2022/12/10 21:34:00+00,High,NE,AUTO ACC/INJURY,P223444100,E NORTHERN PY/LOCH RAVEN BL,E NORTHERN PY and LOCH RAVEN BL BALTIMORE MD,Ramblewood,Northeastern,414.0,4.0,D3,Loch Raven,Census Tract 2708.02,21239.0,336112,,"(None, None, None)",,,
